"Date";"Debut";"Haut";"Bas";"Fin";"Volume";"Jour"
"2007-01-24";1427.96;1440.14;1427.96;1440.13;2783.18;3
"2007-01-25";1440.12;1440.69;1422.34;1423.9;2994.33;4
"2007-01-26";1423.9;1427.27;1416.96;1422.18;2626.62;5
"2007-01-29";1422.03;1426.94;1418.46;1420.62;2730.48;1
"2007-01-30";1420.61;1428.82;1420.61;1428.82;2706.25;2
"2007-01-31";1428.65;1441.61;1424.78;1438.24;2976.69;3
"2007-02-01";1437.9;1446.64;1437.9;1445.94;2914.89;4
"2007-02-02";1445.94;1449.33;1444.49;1448.39;2569.45;5
"2007-02-05";1448.33;1449.38;1443.85;1446.99;2439.43;1
"2007-02-06";1446.98;1450.19;1443.4;1448;2608.71;2
"2007-02-07";1447.41;1452.99;1446.44;1450.02;2618.82;3
"2007-02-08";1449.99;1450.45;1442.81;1448.31;2816.18;4
"2007-02-09";1448.25;1452.45;1433.44;1438.06;2951.81;5
"2007-02-12";1438;1439.11;1431.44;1433.37;2395.68;1
"2007-02-13";1433.22;1444.41;1433.22;1444.26;2652.15;2
"2007-02-14";1443.91;1457.65;1443.91;1455.3;2699.29;3
"2007-02-15";1455.15;1457.97;1453.19;1456.81;2490.92;4
"2007-02-16";1456.77;1456.77;1451.57;1455.54;2399.45;5
"2007-02-20";1455.53;1460.53;1449.2;1459.68;2337.86;2
"2007-02-21";1459.6;1459.6;1452.02;1457.63;2606.98;3
"2007-02-22";1457.29;1461.57;1450.51;1456.38;1950.77;4
"2007-02-23";1456.22;1456.22;1448.36;1451.19;2579.95;5
"2007-02-26";1451.04;1456.95;1445.48;1449.37;2822.17;1
"2007-02-27";1449.25;1449.25;1389.42;1399.04;4065.23;2
"2007-02-28";1398.64;1415.89;1396.65;1406.82;3925.25;3
"2007-03-01";1406.8;1409.46;1380.87;1403.17;3874.91;4
"2007-03-02";1403.16;1403.4;1386.87;1387.17;3312.26;5
"2007-03-05";1387.11;1391.86;1373.97;1374.12;3480.52;1
"2007-03-06";1374.06;1397.9;1374.06;1395.41;3358.16;2
"2007-03-07";1395.02;1401.16;1390.64;1391.97;3141.35;3
"2007-03-08";1391.88;1407.93;1391.88;1401.89;3014.85;4
"2007-03-09";1401.89;1410.15;1397.3;1402.84;2623.05;5
"2007-03-12";1402.8;1409.34;1398.4;1406.6;2664;1
"2007-03-13";1406.23;1406.23;1377.71;1377.95;3485.57;2
"2007-03-14";1377.86;1388.09;1363.98;1387.17;3758.35;3
"2007-03-15";1387.11;1395.73;1385.16;1392.28;2821.9;4
"2007-03-16";1392.28;1397.51;1383.63;1386.95;3393.64;5
"2007-03-19";1386.95;1403.2;1386.95;1402.06;2777.18;1
"2007-03-20";1402.04;1411.53;1400.7;1410.94;2795.94;2
"2007-03-21";1410.92;1437.77;1409.75;1435.04;3184.77;3
"2007-03-22";1435.04;1437.66;1429.88;1434.54;3129.97;4
"2007-03-23";1434.54;1438.89;1433.21;1436.11;2619.02;5
"2007-03-26";1436.11;1437.65;1423.28;1437.5;2754.66;1
"2007-03-27";1437.49;1437.49;1425.54;1428.61;2673.04;2
"2007-03-28";1428.35;1428.35;1414.07;1417.23;3000.44;3
"2007-03-29";1417.17;1426.24;1413.27;1422.53;2854.71;4
"2007-03-30";1422.52;1429.22;1408.9;1420.86;2903.96;5
"2007-04-02";1420.83;1425.49;1416.37;1424.55;2875.88;1
"2007-04-03";1424.27;1440.57;1424.27;1437.77;2921.76;2
"2007-04-04";1437.75;1440.16;1435.08;1439.37;2616.32;3
"2007-04-05";1438.94;1444.88;1436.67;1443.76;2357.23;4
"2007-04-09";1443.77;1448.1;1443.28;1444.61;2349.41;1
"2007-04-10";1444.58;1448.73;1443.99;1448.39;2510.11;2
"2007-04-11";1448.23;1448.39;1436.15;1438.87;2950.19;3
"2007-04-12";1438.87;1448.02;1433.91;1447.8;2770.57;4
"2007-04-13";1447.8;1453.11;1444.15;1452.85;2690.02;5
"2007-04-16";1452.84;1468.62;1452.84;1468.33;2870.14;1
"2007-04-17";1468.47;1474.35;1467.15;1471.48;2920.57;2
"2007-04-18";1471.47;1476.57;1466.41;1472.5;2971.33;3
"2007-04-19";1472.48;1474.23;1464.47;1470.73;2913.61;4
"2007-04-20";1470.69;1484.74;1470.69;1484.35;3329.94;5
"2007-04-23";1484.33;1487.32;1480.19;1480.93;2575.02;1
"2007-04-24";1480.93;1483.82;1473.74;1480.41;3119.75;2
"2007-04-25";1480.28;1496.59;1480.28;1495.42;3252.59;3
"2007-04-26";1495.27;1498.02;1491.17;1494.25;3211.8;4
"2007-04-27";1494.21;1497.32;1488.67;1494.07;2732.81;5
"2007-04-30";1494.07;1497.16;1482.29;1482.37;3093.42;1
"2007-05-01";1482.37;1487.27;1476.7;1486.3;3400.35;2
"2007-05-02";1486.13;1499.1;1486.13;1495.92;3189.8;3
"2007-05-03";1495.56;1503.34;1495.56;1502.39;3007.97;4
"2007-05-04";1502.35;1510.34;1501.8;1505.62;2761.93;5
"2007-05-07";1505.57;1511;1505.54;1509.48;2545.09;1
"2007-05-08";1509.36;1509.36;1500.66;1507.72;2795.72;2
"2007-05-09";1507.32;1513.8;1503.77;1512.58;2935.55;3
"2007-05-10";1512.33;1512.33;1491.42;1491.47;3031.24;4
"2007-05-11";1491.47;1506.24;1491.47;1505.85;2720.78;5
"2007-05-14";1505.76;1510.9;1498.34;1503.15;2776.13;1
"2007-05-15";1503.11;1514.83;1500.43;1501.19;3071.02;2
"2007-05-16";1500.75;1514.15;1500.75;1514.14;2915.35;3
"2007-05-17";1514.01;1517.14;1509.29;1512.75;2868.64;4
"2007-05-18";1512.74;1522.75;1512.74;1522.75;2959.05;5
"2007-05-21";1522.75;1529.87;1522.71;1525.1;3465.36;1
"2007-05-22";1525.1;1529.24;1522.05;1524.12;2860.5;2
"2007-05-23";1524.09;1532.43;1521.9;1522.28;3084.26;3
"2007-05-24";1522.1;1529.31;1505.18;1507.51;3365.53;4
"2007-05-25";1507.5;1517.41;1507.5;1515.73;2316.25;5
"2007-05-29";1515.55;1521.8;1512.02;1518.11;2571.79;2
"2007-05-30";1517.6;1530.23;1510.06;1530.23;2980.21;3
"2007-05-31";1530.19;1535.56;1528.26;1530.62;3335.53;4
"2007-06-01";1530.62;1540.56;1530.62;1536.34;2927.02;5
"2007-06-04";1536.28;1540.53;1532.31;1539.18;2738.93;1
"2007-06-05";1539.12;1539.12;1525.62;1530.95;2939.45;2
"2007-06-06";1530.57;1530.57;1514.13;1517.38;2964.19;3
"2007-06-07";1517.36;1517.36;1490.37;1490.72;3538.47;4
"2007-06-08";1490.71;1507.76;1487.41;1507.67;2993.46;5
"2007-06-11";1507.64;1515.53;1503.35;1509.12;2525.28;1
"2007-06-12";1509.12;1511.33;1492.97;1493;3056.2;2
"2007-06-13";1492.65;1515.7;1492.65;1515.67;3077.93;3
"2007-06-14";1515.58;1526.45;1515.58;1522.97;2813.63;4
"2007-06-15";1522.97;1538.71;1522.97;1532.91;3406.03;5
"2007-06-18";1532.9;1535.44;1529.31;1531.05;2480.24;1
"2007-06-19";1531.02;1535.85;1525.67;1533.7;2873.59;2
"2007-06-20";1533.68;1537.32;1512.36;1512.84;3286.9;3
"2007-06-21";1512.5;1522.9;1504.75;1522.19;3161.11;4
"2007-06-22";1522.19;1522.19;1500.74;1502.56;4284.32;5
"2007-06-25";1502.56;1514.29;1492.68;1497.74;3287.25;1
"2007-06-26";1497.68;1506.12;1490.54;1492.89;3398.53;2
"2007-06-27";1492.62;1506.8;1484.18;1506.34;3398.15;3
"2007-06-28";1506.32;1514.84;1503.41;1505.71;3006.71;4
"2007-06-29";1505.7;1517.53;1493.61;1503.35;3165.41;5
"2007-07-02";1504.66;1519.45;1504.66;1519.43;2644.99;1
"2007-07-03";1519.12;1526.01;1519.12;1524.87;1560.79;2
"2007-07-05";1524.86;1526.57;1517.72;1525.4;2622.95;4
"2007-07-06";1524.96;1532.4;1520.47;1530.44;2441.52;5
"2007-07-09";1530.43;1534.26;1527.45;1531.85;2715.33;1
"2007-07-10";1531.85;1531.85;1510.01;1510.12;3244.28;2
"2007-07-11";1509.93;1519.34;1506.1;1518.76;3082.92;3
"2007-07-12";1518.74;1547.92;1518.74;1547.7;3489.6;4
"2007-07-13";1547.68;1555.1;1544.85;1552.5;2801.12;5
"2007-07-16";1552.5;1555.9;1546.69;1549.52;2704.11;1
"2007-07-17";1549.52;1555.32;1547.74;1549.37;3007.14;2
"2007-07-18";1549.2;1549.2;1533.67;1546.17;3609.22;3
"2007-07-19";1546.13;1555.2;1546.13;1553.08;3251.45;4
"2007-07-20";1553.19;1553.19;1529.2;1534.1;3745.78;5
"2007-07-23";1534.06;1547.23;1534.06;1541.57;3102.7;1
"2007-07-24";1541.57;1541.57;1508.62;1511.04;4115.83;2
"2007-07-25";1511.03;1524.31;1503.73;1518.09;4283.2;3
"2007-07-26";1518.09;1518.09;1465.3;1482.66;4472.55;4
"2007-07-27";1482.44;1488.53;1458.95;1458.95;4784.65;5
"2007-07-30";1458.93;1477.88;1454.32;1473.91;4128.78;1
"2007-07-31";1473.9;1488.3;1454.25;1455.27;4524.52;2
"2007-08-01";1455.18;1468.38;1439.59;1465.81;5256.78;3
"2007-08-02";1465.46;1476.43;1460.58;1472.2;4368.85;4
"2007-08-03";1472.18;1473.23;1432.8;1433.06;4272.11;5
"2007-08-06";1433.04;1467.67;1427.39;1467.67;5067.2;1
"2007-08-07";1467.62;1488.3;1455.8;1476.71;4909.39;2
"2007-08-08";1476.22;1503.89;1476.22;1497.49;5499.56;3
"2007-08-09";1497.21;1497.21;1453.09;1453.09;5889.6;4
"2007-08-10";1453.09;1462.02;1429.74;1453.64;5345.78;5
"2007-08-13";1453.42;1466.29;1451.54;1452.92;3696.28;1
"2007-08-14";1452.87;1456.74;1426.2;1426.54;3814.63;2
"2007-08-15";1426.15;1440.78;1404.36;1406.7;4290.93;3
"2007-08-16";1406.64;1415.97;1370.6;1411.27;6509.3;4
"2007-08-17";1411.26;1450.33;1411.26;1445.94;3570.04;5
"2007-08-20";1445.94;1451.75;1430.54;1445.55;3321.34;1
"2007-08-21";1445.55;1455.32;1439.76;1447.12;3012.15;2
"2007-08-22";1447.03;1464.86;1447.03;1464.07;3309.12;3
"2007-08-23";1464.05;1472.06;1453.88;1462.5;3084.39;4
"2007-08-24";1462.34;1479.4;1460.54;1479.37;2541.4;5
"2007-08-27";1479.36;1479.36;1465.98;1466.79;2406.18;1
"2007-08-28";1466.72;1466.72;1432.01;1432.36;3078.09;2
"2007-08-29";1432.01;1463.76;1432.01;1463.76;2824.07;3
"2007-08-30";1463.67;1468.43;1451.25;1457.64;2582.96;4
"2007-08-31";1457.61;1481.47;1457.61;1473.99;2731.61;5
"2007-09-04";1473.96;1496.4;1472.15;1489.42;2766.6;2
"2007-09-05";1488.76;1488.76;1466.34;1472.29;2991.6;3
"2007-09-06";1472.03;1481.49;1467.41;1478.55;2459.59;4
"2007-09-07";1478.55;1478.55;1449.07;1453.55;3191.08;5
"2007-09-10";1453.5;1462.25;1439.29;1451.7;2835.72;1
"2007-09-11";1451.69;1472.48;1451.69;1471.49;3015.33;2
"2007-09-12";1471.1;1479.5;1465.75;1471.56;2885.72;3
"2007-09-13";1471.47;1489.58;1471.47;1483.95;2877.08;4
"2007-09-14";1483.95;1485.99;1473.18;1484.25;2641.74;5
"2007-09-17";1484.24;1484.24;1471.82;1476.65;2598.39;1
"2007-09-18";1476.63;1519.89;1476.63;1519.78;3708.94;2
"2007-09-19";1519.75;1538.74;1519.75;1529.03;3846.75;3
"2007-09-20";1528.69;1529.14;1516.42;1518.75;2957.7;4
"2007-09-21";1518.75;1530.89;1518.75;1525.75;3679.46;5
"2007-09-24";1525.75;1530.18;1516.15;1517.73;3131.31;1
"2007-09-25";1516.34;1518.27;1507.13;1517.21;3187.77;2
